ctag	ch	ch_female
ACHIEVEMENT_37	召开球员会议	召开球员会议
ACHIEVEMENT_38	使用治疗卡	使用治疗卡
ACHIEVEMENT_39	使用合约延期卡	使用合约延期卡
ACHIEVEMENT_4	进行比赛	进行比赛
ACHIEVEMENT_40	使用团队谈话卡	使用团队谈话卡
ACHIEVEMENT_41	使用禁令上诉卡	使用禁令上诉卡
ACHIEVEMENT_42	使用员工提升卡	使用员工提升卡
ACHIEVEMENT_43	获得100％董事会关系	获得100％董事会关系
ACHIEVEMENT_44	获得100％的FANS关系	获得100％的FANS关系
ACHIEVEMENT_45	获得100％赞助者关系	获得100％赞助者关系
ACHIEVEMENT_46	玩了10个赛季	玩了10个赛季
ACHIEVEMENT_47	进球20个	进球20个
ACHIEVEMENT_48	进球50个	进球50个
ACHIEVEMENT_49	进球100个	进球100个
ACHIEVEMENT_5	使用技能培训卡	使用技能培训卡
ACHIEVEMENT_50	得分250	得分250
ACHIEVEMENT_51	得分500	得分500
ACHIEVEMENT_52	得分1000	得分1000
ACHIEVEMENT_53	得分点球	得分点球
ACHIEVEMENT_54	在禁区外得分	在禁区外得分
ACHIEVEMENT_55	从30码处进一球	从30码处进一球
ACHIEVEMENT_56	从40码处射入一球	从40码处射入一球
ACHIEVEMENT_57	雇用技能教练	雇用技能教练
ACHIEVEMENT_58	雇用健身教练	雇用健身教练
ACHIEVEMENT_59	雇用青年教练	雇用青年教练
ACHIEVEMENT_6	使用健身训练卡	使用健身训练卡
ACHIEVEMENT_7	成功完成董事会目标	成功完成董事会目标
ACHIEVEMENT_8	调整票价	调整票价
ACHIEVEMENT_9	升级您的体育场	升级您的体育场
AchievementProgress	成就进度：	成就进度：
Achievements	成就	成就
addictedRating_0	这个游戏看起来很有趣，让我们看看.	这个游戏看起来很有趣，让我们看看.
addictedRating_1	我是对的，这个游戏很有趣.让我回到游戏. . .	我是对的，这个游戏很有趣.让我回到游戏. . .
addictedRating_10	学会编织，这样我就可以制作 $clubname FC围巾.	学会编织，这样我就可以制作 $clubname FC围巾.
addictedRating_11	不知道这个周末该怎么办，我需要来自<staffname>的建议.	不知道这个周末该怎么办，我需要来自<staffname>的建议.
addictedRating_12	考虑让我的头发看起来更像<playername><position> .	考虑让我的头发看起来更像<playername><position> .
addictedRating_13	引发了关于为什么$clubname FC在下个赛季要跻身联盟榜首的争论.	引发了关于为什么$clubname FC在下个赛季要跻身联盟榜首的争论.
addictedRating_14	引发了为什么$clubname FC下个赛季将在联赛中名列前茅，并赢得了这场胜利的争论.	引发了为什么$clubname FC下个赛季将在联赛中名列前茅，并赢得了这场胜利的争论.
addictedRating_15	梦见<playername><position> .并不奇怪.	梦见<playername><position> .并不奇怪.
addictedRating_16	我可能会养一条狗并将其命名为<staffname> .	我可能会养一条狗并将其命名为<staffname> .
addictedRating_17	今年不打算休假，我们有一些董事会目标可以实现.	今年不打算休假，我们有一些董事会目标可以实现.
addictedRating_18	我可以发誓昨天我在街上看到<playername><position>	我可以发誓昨天我在街上看到<playername><position>
addictedRating_19	可以肯定的是，我很快就会被<nation>教练召集.	可以肯定的是，我很快就会被<nation>教练召集.
addictedRating_2	我的大拇指开始长茧了。	我的大拇指开始长茧了。
addictedRating_20	昨晚根本无法入睡.担心<playername><position>当前形式.	昨晚根本无法入睡.担心<playername><position>当前形式.
addictedRating_21	<nation>尚未致电.也许他们留下了一条消息.	<nation>尚未致电.也许他们留下了一条消息.
addictedRating_22	我记得<playername><position> 生日，但是忘记了自己的生日. . .	我记得<playername><position> 生日，但是忘记了自己的生日. . .
addictedRating_23	也可以在下一场<nation>比赛时出现。	也可以在下一场<nation>比赛时出现。
addictedRating_24	已将“ $clubname FC的经理”添加到我的简历的“爱好”部分.	已将“ $clubname FC的经理”添加到我的简历的“爱好”部分.
addictedRating_25	写一封措辞强烈的信，说明地面电视缺少$clubname FC游戏.	写一封措辞强烈的信，说明地面电视缺少$clubname FC游戏.
addictedRating_26	在我的简历的“以前的工作”部分添加了“ $clubname FC的经理” .	在我的简历的“以前的工作”部分添加了“ $clubname FC的经理” .
addictedRating_27	发现如何正式重命名我的房子后，我现在住在“ $stadiumname” .	发现如何正式重命名我的房子后，我现在住在“ $stadiumname” .
addictedRating_28	在我的简历的“当前就业”部分中添加了“ $clubname FC的经理” .	在我的简历的“当前就业”部分中添加了“ $clubname FC的经理” .
addictedRating_29	再一想，我甚至不接<nation>电话。我终生是$clubname的FC。	再一想，我甚至不接<nation>电话。我终生是$clubname的FC。
addictedRating_3	如果我能得到一个防水的手机，我就可以在淋浴时玩了。	如果我能得到一个防水的手机，我就可以在淋浴时玩了。
addictedRating_30	我把简历扔了。只要我还在管理$clubname俱乐部，我就不需要另一份工作。	丢掉我的简历.只要我管理$clubname FC，就不需要其他工作.
addictedRating_31	短暂休息一下看电影.我想<playername><position>本来会喜欢的.	短暂休息一下看电影.我想<playername><position>本来会喜欢的.
addictedRating_32	我可能会得到一个分开的“ $clubname FC”纹身.	我可能会得到一个分开的“ $clubname FC”纹身.
addictedRating_33	我可能会在我背上纹上<playername><position>的脸.	我可能会在我背上纹上<playername><position>的脸.
addictedRating_34	一直在问陌生人他们是否准备好接受$clubname FC的心意.	一直在问陌生人他们是否准备好接受$clubname FC的心意.
addictedRating_35	<playername><position>是我的精神动物.	<playername><position>是我的精神动物.
addictedRating_36	如果每个人都可以落后于$clubname FC，我认为我们可以实现世界和平.	如果每个人都可以落后于$clubname FC，我认为我们可以实现世界和平.
addictedRating_37	<staffname>基本上就像我的家人.	<staffname>基本上就像我的家人.
addictedRating_38	改变我的遗嘱.我所有的财产归于<staffname> .	改变我的遗嘱.我所有的财产归于<staffname> .
addictedRating_39	我死后，在我的墓碑上凿了$clubname FC的胜利记录.	我死后，在我的墓碑上凿了$clubname FC的胜利记录.
addictedRating_4	开始希望有更多的人像<staffname> .一样有用。	开始希望有更多的人像<staffname> .一样有用。
addictedRating_5	如果$clubname FC是真实的，我会购买一张季票.	如果$clubname FC是真实的，我会购买一张季票.
addictedRating_6	以防万一，我在线检查了是否可以为$clubname FC购买季票.	以防万一，我在线检查了是否可以为$clubname FC购买季票.
addictedRating_7	为$clubname FC设计了自己的季票并打印出来了.现在感觉更好.	为$clubname FC设计了自己的季票并打印出来了.现在感觉更好.
addictedRating_8	创作了一首关于<playername><position>的歌曲，以便我在演奏时可以对其进行吟唱.	创作了一首关于<playername><position>的歌曲，以便我在演奏时可以对其进行吟唱.
addictedRating_9	努力回忆起$clubname FC .之前的情况。	努力回忆起$clubname FC .之前的情况。
advice_AverageAgeHigh	团队的平均年龄是 $average_age，老板.我建议带些新鲜血液.	班长的平均年龄是平均年龄，老板.我建议带些新鲜血液.
advice_AverageAgeLow	团队的平均年龄是$average_age，老板.我建议引进一或两个经验丰富的球员.	班长的平均年龄是$average_age，老板.我建议引进一或两个经验丰富的球员.
advice_BoardTargets	下一场比赛后，董事会将审核我们的目标.	下一场比赛后，董事会将审核我们的目标.
advice_ConcernsContract	一些球员担心他们的合同.	一些球员担心他们的合同.
advice_ConcernsDevelopment	一些球员担心他们缺乏发展.	一些球员担心他们缺乏发展.
advice_ConcernsSelection	许多球员都在关注您的管理技能.	许多球员都在关注您的管理技能.
advice_ConcernsForm	许多球员都对目前的球队形式感到担忧。我们需要一场胜利来增强阵容。	许多球员都对目前的球队形式感到担忧。我们需要一场胜利来增强阵容。
advice_Cover	目前我们缺少$position保险.	目前我们缺少$position保险.
advice_Weak	$position位置是我们最弱的位置.	$position位置是我们最弱的位置.
advice_FacilityUpgrade	我认为，我们应该寻求尽快升级我们的$facility .	我认为，我们应该寻求尽快升级我们的$facility .
advice_HappinessLow	目前，小队的整体幸福感很低.	目前，小队的整体幸福感很低.
advice_HireStaff	别忘了我们有一个空缺的$stafftype职位需要填补.	别忘了我们有一个空缺的$stafftype职位需要填补.
advice_LowAttendance	我认为我们的票价对比赛的出勤率有负面影响.	我认为我们的票价对比赛的出勤率有负面影响.
advice_RelationshipLow	我们与$关系的关系非常低，需要引起您的注意.	我们与$关系的关系非常低，需要引起您的注意.
advice_StadiumCapacity	我们可能需要考虑尽快增加体育场容量.	我们可能需要考虑尽快增加体育场容量.
advice_UnhappiestPlayer	$playername十分不高兴.也许您应该开会开会以消除气氛?	$playername十分不高兴.也许您应该开会开会以消除气氛?
advice_NextGame	我们的下一个目标是反对$clubname，为什么不在比赛开始前重试!	我们的下一个目标是反对$clubname，为什么不在比赛开始前重试!
advice_NextGame_Cup	我们有一场至关重要的杯赛与$clubname对抗，为什么不在比赛前重试!	我们有一场至关重要的杯赛与$clubname对抗，为什么不在比赛前重试!
advice_NextGame_Continent	我们在$compname中有一个与$clubname对抗的重要比赛，为什么不在比赛开始前重试!	我们在$compname中有一个与$clubname对抗的重要比赛，为什么不在比赛开始前重试!
advice_None	嘿，老板，目前一切似乎都很顺利。	嘿老板，此刻一切似乎都在发生.
advice_TicketRise	我们应该考虑提高票价.	我们应该考虑提高票价.
advice_TicketLower	您可能需要考虑降低门票价格.	您可能需要考虑降低门票价格.
advice_LowEnergy	团队看上去很累，也许我们应该给他们一些能量卡.	团队看上去很累，也许我们应该给他们一些能量卡.
adviceButton_AddBux	添加Bux	添加Bux
adviceButton_GetPlayers	招募球员	招募球员
adviceButton_GetRetries	重试	重试
adviceButton_LowEnergy	使用NRG卡	使用NRG卡
Age	年龄	年龄
answer_Correct	不	不
answer_No	没有	没有
answer_NotOwned	不拥有	不拥有
answer_Wrong	错误	错误
answer_Yes	是	是
AppealDescr	减少禁令	减少禁令
Appearances	出场	出场
Assist	助攻	助攻
Assistant Report	助理报告	助理报告
ASSISTANTCOMMENT_CHEMISTRY1	$playername和$playername 2之间的化学反应不佳.	$playername和$playername 2之间的化学反应不佳.
ASSISTANTCOMMENT_CHEMISTRY10	$playername和$playername 2的化学成分为零，并引起错误.	$playername和$playername 2的化学成分为零，并引起错误.
ASSISTANTCOMMENT_CHEMISTRY2	$playername和$playername 2彼此之间的厌恶显而易见.	$playername和$playername 2彼此之间的厌恶显而易见.
ASSISTANTCOMMENT_CHEMISTRY3	$playername和$playername 2不相处.	$playername和$playername 2不相处.
ASSISTANTCOMMENT_CHEMISTRY4	$playername和$playername 2不能站在一起.	$playername和$playername 2不能站在一起.
ASSISTANTCOMMENT_CHEMISTRY5	$playername和$playername 2显然无法相处.	$playername和$playername 2显然无法相处.
ASSISTANTCOMMENT_CHEMISTRY6	$playername和$playername 2之间的沟通不畅.	$playername和$playername 2之间的沟通不畅.
ASSISTANTCOMMENT_CHEMISTRY7	$playername和$playername 2需要解决他们的分歧.	$playername和$playername 2需要解决他们的分歧.
ASSISTANTCOMMENT_CHEMISTRY8	$playername和$playername 2处于不同的波长.	$playername和$playername 2处于不同的波长.
ASSISTANTCOMMENT_CHEMISTRY9	$playername和$playername 2之间的化学反应不佳.	$playername和$playername 2之间的化学反应不佳.
ASSISTANTCOMMENT_FANS1	今天，我们的粉丝们全场欢呼.	今天，我们的粉丝们全场欢呼.
ASSISTANTCOMMENT_FANS2	球迷们真的支持球队	球迷们真的支持球队
ASSISTANTCOMMENT_FANS3	我们的球迷为我们争光。	我们的球迷为我们争光。
ASSISTANTCOMMENT_FANS4	粉丝们真的相信我们.	粉丝们真的相信我们.
ASSISTANTCOMMENT_FANS5	我们的粉丝非常支持我们.	我们的粉丝非常支持我们.
ASSISTANTCOMMENT_FANS6	今天我们的粉丝很棒.	今天我们的粉丝很棒.
ASSISTANTCOMMENT_FANS7	粉丝是我们今天的第十二个球员.	粉丝是我们今天的第十二个球员.
ASSISTANTCOMMENT_FANSAWAY1	今天，我们的场外球迷们热情洋溢，.	今天，我们的场外球迷们热情洋溢，.
ASSISTANTCOMMENT_FANSAWAY2	我们的旅行迷真的支持球队.	我们的旅行迷真的支持球队.
ASSISTANTCOMMENT_FANSAWAY3	我们的客场支援非常棒.	我们的客场支援非常棒.
ASSISTANTCOMMENT_FANSAWAY4	我们的球迷们真的相信我们.	我们的球迷们真的相信我们.
ASSISTANTCOMMENT_FANSAWAY5	我们的球迷们非常支持我们.	我们的球迷们非常支持我们.
ASSISTANTCOMMENT_FANSAWAY6	我们的客场球迷为我们争光.	我们的客场球迷为我们争光.
ASSISTANTCOMMENT_FANSAWAY7	今天，我们的球迷是我们的第十二个球员.	今天，我们的球迷是我们的第十二个球员.
ASSISTANTCOMMENT_RAWPLAYER1	$playername还是很生疏.我们不应该启用他.	$playername还是很生疏.我们不应该启用他.
ASSISTANTCOMMENT_RAWPLAYER2	$playername仍然很生疏.我们不应该等到过后才把他带来.	$playername仍然很生疏.我们不应该等到过后才把他带来.
ASSISTANTCOMMENT_RAWPLAYER3	$playername非常生疏.我们不应该等到比赛后期才把他带上来.	$playername非常生疏.我们不应该等到比赛后期才把他带上来.
ASSISTANTCOMMENT_ROOKIENOMORE1	$playername不再被视为菜鸟.	$playername不再被视为菜鸟.
ASSISTANTCOMMENT_ROOKIEPLAYER1	$playername仍然是菜鸟.我们不应该启动他.	$playername仍然是菜鸟.我们不应该启动他.
ASSISTANTCOMMENT_ROOKIEPLAYER2	$playername缺乏经验，无法开始比赛.	$playername缺乏经验，无法开始比赛.
ASSISTANTCOMMENT_ROOKIEPLAYER3	我们应该以$playername作为替补，直到他有更多的经验.	我们应该以$playername作为替补，直到他有更多的经验.
ASSISTANTCOMMENT_ROOKIEPLAYER4	$playername是菜鸟.我们现在应该将他用作替补球员.	$playername是菜鸟.我们现在应该将他用作替补球员.
ASSISTANTCOMMENT_ROOKIEPLAYER5	$playername在开始游戏之前需要更多的经验.	$playername在开始游戏之前需要更多的经验.
ASSISTANTCOMMENT_TIREDSTARTER1	$playername在开球后就很累.	$playername在开球后就很累.
ASSISTANTCOMMENT_TIREDSTARTER2	$playername从一开始就很累.	$playername从一开始就很累.
ASSISTANTCOMMENT_TIREDSTARTER3	$playername太累了，无法开始这场比赛.	$playername太累了，无法开始这场比赛.
ASSISTANTCOMMENT_UNHAPPYPLAYER1	$playername现在的注意力在其他地方.	$playername现在的注意力在其他地方.
ASSISTANTCOMMENT_UNHAPPYPLAYER2	我们需要使$playername注意力集中.	我们需要使$playername注意力集中.
ASSISTANTCOMMENT_UNHAPPYPLAYER3	$playername情况不佳.	$playername情况不佳.
ASSISTANTCOMMENT_UNHAPPYPLAYER4	$playername的心态不正确.	$playername的心态不正确.
ASSISTANTCOMMENT_UNHAPPYPLAYER5	$playername今天犯了几个错误.	$playername今天犯了几个错误.
ASSISTANTCOMMENT_UNHAPPYPLAYER6	$playername的心态导致了几个错误.	$playername的心态导致了几个错误.
ASSISTANTCOMMENT_UNHAPPYPLAYER7	$playername目前不开心.	$playername目前不开心.
ASSISTANTCOMMENT_UNHAPPYPLAYER8	$playername的士气低落.	$playername的士气低落.
ASSISTANTCOMMENT_UNHAPPYPLAYER9	我们需要提高士气$playername .	我们需要提高士气$playername .
ASSISTANTCOMMENT_UNHAPPYPLAYER10	我们需要提高$playername的士气，以充分利用他的优势.	我们需要提高$playername的士气，以充分利用他的优势.
ASSISTANTCOMMENT_UNHAPPYPLAYER11	$playername似乎分心了.	$playername似乎分心了.
ASSISTANTCOMMENT_UNHAPPYTEAM1	小队缺乏信心.	小队缺乏信心.
ASSISTANTCOMMENT_UNHAPPYTEAM2	团队士气低落.	团队士气低落.
ASSISTANTCOMMENT_UNHAPPYTEAM3	我们需要提高小队的幸福值.	我们需要提高小队的幸福值.
ASSISTANTCOMMENT_UNHAPPYTEAM4	我们现在有一个不幸福的小队.	我们现在有一个不幸福的小队.
ASSISTANTCOMMENT_UNHAPPYTEAM5	小伙子们需要鼓舞士气.	小伙子们需要鼓舞士气.
ASSISTANTCOMMENT_UNHAPPYTEAM6	我们需要增强小队的幸福感.	我们需要增强小队的幸福感.
ASSISTANTCOMMENT_UNHAPPYTEAM7	我们需要控制球员的担忧.	我们需要控制球员的担忧.
ASSISTANTCOMMENT_UNHAPPYTEAM8	我们需要关注球员的快乐.	我们需要关注球员的快乐.
ASSISTANTCOMMENT_VERYUNHAPPYTEAM1	球员的信心很低.	球员的信心很低.
ASSISTANTCOMMENT_VERYUNHAPPYTEAM2	幸福低落会导致球场失误.	幸福低落会导致球场失误.
ASSISTANTCOMMENT_VERYUNHAPPYTEAM3	我们非常需要解决团队的快乐.	我们非常需要解决团队的快乐.
ASSISTANTCOMMENT_VERYUNHAPPYTEAM4	球员需要您为他们提供帮助.	球员需要您为他们提供帮助.
ASSISTANTCOMMENT_VERYUNHAPPYTEAM5	我们需要解决球员的担忧.	我们需要解决球员的担忧.
ASSISTANTCOMMENT_VERYUNHAPPYTEAM6	球员的低沉幸福会导致失误.	球员的低沉幸福会导致失误.
ASSISTANTCOMMENT_HAPPYTEAM1	小队充满信心.	小队充满信心.
ASSISTANTCOMMENT_HAPPYTEAM2	目前，团队士气很高.	目前，团队士气很高.
ASSISTANTCOMMENT_HAPPYTEAM3	小队的幸福很好.	小队的幸福很好.
ASSISTANTCOMMENT_HAPPYTEAM4	我们现在有一个快乐的小队.	我们现在有一个快乐的小队.
ASSISTANTCOMMENT_HAPPYTEAM5	小队的整体幸福感很好.	小队的整体幸福感很好.
ASSISTANTCOMMENT_HAPPYTEAM6	从心理上来说，小队有一个很好的状态.	从心理上来说，小队有一个很好的状态.
ASSISTANTCOMMENT_WISEPLAYER1	像$playername这样的球员为球队带来了丰富的经验.	像$playername这样的球员为球队带来了丰富的经验.
ASSISTANTCOMMENT_WISEPLAYER2	$playername显示了他的经验.	$playername显示了他的经验.
ASSISTANTCOMMENT_WISEPLAYER3	年轻球员可以向$playername .等经验丰富的职业球员学习	年轻球员可以向$playername .等经验丰富的职业球员学习
ASSISTANTCOMMENT_WISEPLAYER4	$playername显示了他的领导才能.	$playername显示了他的领导才能.
ASSISTANTCOMMENT_WISEPLAYER5	$playername运用了他今天的所有经验.	$playername运用了他今天的所有经验.
ASSISTANTCOMMENT_WISEPLAYER6	$playername利用他的经验取得了巨大的成就.	$playername利用他的经验取得了巨大的成就.
ASSISTANTCOMMENT_WISEPLAYER7	$playername的经验在今天显而易见.	$playername的经验在今天显而易见.
ASSISTANTCOMMENT_PLAYERDEBUT_VGOOD1	$playername首次亮相.	$playername首次亮相.
ASSISTANTCOMMENT_PLAYERDEBUT_VGOOD2	$playername在他的处子秀中很出色.	$playername在他的处子秀中很出色.
ASSISTANTCOMMENT_PLAYERDEBUT_VGOOD3	$playername .精彩的处女作	$playername .精彩的处女作
ASSISTANTCOMMENT_PLAYERDEBUT_GOOD1	$playername出道不错.	$playername出道不错.
ASSISTANTCOMMENT_PLAYERDEBUT_GOOD2	$playername在他的处子秀中表现不错.	$playername在他的处子秀中表现不错.
ASSISTANTCOMMENT_PLAYERDEBUT_GOOD3	$playername首次亮相.	$playername首次亮相.
ASSISTANTCOMMENT_PLAYERDEBUT_POOR1	$playername出道不佳.	$playername出道不佳.
ASSISTANTCOMMENT_PLAYERDEBUT_POOR2	$playername需要时间睡觉.	$playername需要时间睡觉.
ASSISTANTCOMMENT_PLAYERDEBUT_POOR3	$playername的首次亮相令人失望.	$playername的首次亮相令人失望.
ASSISTANTCOMMENT_PLAYERPERFORMANCE_GOOD1	$playername很棒.	$playername很棒.
ASSISTANTCOMMENT_PLAYERPERFORMANCE_GOOD2	$playername的表现非常出色.	$playername的表现非常出色.
ASSISTANTCOMMENT_PLAYERPERFORMANCE_GOOD3	$playername今天真棒.	$playername今天真棒.
ASSISTANTCOMMENT_PLAYERPERFORMANCE_GOOD4	$playername有出色的比赛.	$playername有出色的比赛.
ASSISTANTCOMMENT_PLAYERPERFORMANCE_GOOD5	$playername .的惊人表演	$playername .的惊人表演
ASSISTANTCOMMENT_PLAYERPERFORMANCE_GOOD6	$playername .的惊人展示	$playername .的惊人展示
ASSISTANTCOMMENT_PLAYERPERFORMANCE_BAD1	$playername令人震惊.	$playername令人震惊.
ASSISTANTCOMMENT_PLAYERPERFORMANCE_BAD2	$playername的表现远低于标准.	$playername的表现远低于标准.
ASSISTANTCOMMENT_PLAYERPERFORMANCE_BAD3	$playername今天很糟糕.	$playername今天很糟糕.
ASSISTANTCOMMENT_PLAYERPERFORMANCE_BAD4	$playername会对他的表现感到失望.	$playername会对他的表现感到失望.
ASSISTANTCOMMENT_PLAYERPERFORMANCE_BAD5	$playername .的表现糟糕	$playername .的表现糟糕
ASSISTANTCOMMENT_PLAYERPERFORMANCE_BAD5	$playername表现不佳.	$playername表现不佳.
ASSISTANTCOMMENT_PENALTIES_WIN1	小伙子们为点球感到紧张.	小伙子们为点球感到紧张.
ASSISTANTCOMMENT_PENALTIES_WIN2	我们理应赢得点球.	我们理应赢得点球.
ASSISTANTCOMMENT_PENALTIES_WIN3	小伙子们把点球踢得很好。	小伙子们把点球踢得很好。
ASSISTANTCOMMENT_PENALTIES_LOSS1	我们很不幸地输了点球。	我们很不幸地输了点球。
ASSISTANTCOMMENT_PENALTIES_LOSS2	我们不应该输掉点球.	我们不应该输掉点球.
ASSISTANTCOMMENT_PENALTIES_LOSS3	令人失望的点球丢分.	令人失望的点球丢分.
ASSISTANTCOMMENT_PITCH_POOR1	球场很差.	球场很差.
ASSISTANTCOMMENT_PITCH_POOR2	球场不符合标准.	球场不符合标准.
ASSISTANTCOMMENT_PITCH_POOR3	球场质量很差.	球场质量很差.
ASSISTANTCOMMENT_PITCH_POOR4	球场的质量非常不合标准.	球场的质量非常不合标准.
ASSISTANTCOMMENT_PITCH_POOR5	球场很糟糕.	球场很糟糕.
ASSISTANTCOMMENT_PITCH_ENERGY1	球场不会提高我们的能量水平。	球场不会提高我们的能量水平。
ASSISTANTCOMMENT_PITCH_ENERGY2	在该球场上比赛后，男孩们将需要额外的恢复时间.	在该球场上比赛后，男孩们将需要额外的恢复时间.
ASSISTANTCOMMENT_PITCH_ENERGY3	球场消耗了球员的精力.	球场消耗了球员的精力.
ASSISTANTCOMMENT_PITCH_ENERGY4	场地使球员精疲力竭。	场地使球员精疲力竭。
ASSISTANTCOMMENT_PITCH_ENERGY5	球场不利于优质足球.	球场不利于优质足球.
ASSISTANTCOMMENT_PITCH_INJURY1	球场不佳导致$playername受伤.	球场不佳导致$playername受伤.
ASSISTANTCOMMENT_PITCH_INJURY2	球场的质量导致了$playername的受伤。	球场的质量导致了$playername的受伤。
ASSISTANTCOMMENT_PITCH_INJURY3	狡猾的步伐造成$playername的伤害.	狡猾的步伐造成$playername的伤害.
ASSISTANTCOMMENT_PITCH_INJURY4	粗糙的场地导致了$playername受伤。	粗糙的场地导致了$playername受伤。
ASSISTANTCOMMENT_PITCH_INJURY5	$playername的受伤是由球场的质量造成的。	$playername的受伤是由球场的质量造成的。
ASSISTANTCOMMENT_TEAMLOWENERGY1	团队筋疲力尽.	团队筋疲力尽.
ASSISTANTCOMMENT_TEAMLOWENERGY2	一些球员可能需要额外的恢复时间.	一些球员可能需要额外的恢复时间.
ASSISTANTCOMMENT_TEAMLOWENERGY3	球员精力很低.	球员精力很低.
ASSISTANTCOMMENT_TEAMLOWENERGY4	小伙子们付出了一切，筋疲力尽.	小伙子们付出了一切，筋疲力尽.
ASSISTANTCOMMENT_TEAMLOWENERGY5	球员们在没有任何能量下奔跑。	球员们在没有任何能量下奔跑。
ASSISTANTCOMMENT_TEAMLOWENERGY6	您可能需要帮助球员及时恢复去下一场比赛.	您可能需要帮助球员及时恢复去下一场比赛.
ASSISTANTCOMMENT_TEAMLOWENERGY7	小伙子们都射门了。他们需要恢复时间。	小伙子们都射门了。他们需要恢复时间。
ASSISTANTCOMMENT_MISSEDCHANCES1	我们错过了很多好机会.	我们错过了很多好机会.
ASSISTANTCOMMENT_MISSEDCHANCES2	太多的机会都泡汤了。	太多的机会都泡汤了。
ASSISTANTCOMMENT_MISSEDCHANCES3	前锋在进球前缺乏镇定的态度.	前锋在进球前缺乏镇定的态度.
ASSISTANTCOMMENT_MISSEDCHANCES4	我们未能转换很多机会.	我们未能转换很多机会.
ASSISTANTCOMMENT_MISSEDCHANCES5	我们的前锋需要更多的临床经验.	我们的前锋需要更多的临床经验.
ASSISTANTCOMMENT_OFFTARGET1	射门过多，无法达到目标.	射门过多，无法达到目标.
ASSISTANTCOMMENT_OFFTARGET2	我们的某些射门令人毛骨悚然.	我们的某些射门令人毛骨悚然.
ASSISTANTCOMMENT_OFFTARGET3	我们的射门缺乏准确性.	我们的射门缺乏准确性.
ASSISTANTCOMMENT_OFFTARGET4	我们的前锋需要更多的命中目标。	我们的前锋需要更多的命中目标。
ASSISTANTCOMMENT_OFFTARGET5	太多的远程射门偏离了目标。	太多的远程射门偏离了目标。
ASSISTANTCOMMENT_GOODSHOOTING1	我们的射击非常准确.	我们的射击非常准确.
ASSISTANTCOMMENT_GOODSHOOTING2	我们的大多数射门都是针对性的.	我们的大多数射门都是针对性的.
ASSISTANTCOMMENT_GOODSHOOTING3	我们的前锋在进球前表现出良好的准确性.	我们的前锋在进球前表现出良好的准确性.
ASSISTANTCOMMENT_ATTACKDOMINATED1	我们很富有创造力.	我们很富有创造力.
ASSISTANTCOMMENT_ATTACKDOMINATED2	我们的前锋指挥他们的防守。	我们的前锋指挥他们的防守。
ASSISTANTCOMMENT_ATTACKDOMINATED3	我们看起来状态很好。	我们看起来状态很好。
ASSISTANTCOMMENT_ATTACKLACKING1	我们奋斗了.	我们奋斗了.
ASSISTANTCOMMENT_ATTACKLACKING2	我们的前锋未能产生影响.	我们的前锋未能产生影响.
ASSISTANTCOMMENT_ATTACKLACKING3	我们的进攻缺乏创造力.	我们的进攻缺乏创造力.
ASSISTANTCOMMENT_BOXTOBOX1	$playername在球场上上蹿下跳	$playername在球场上上蹿下跳
ASSISTANTCOMMENT_BOXTOBOX2	$playername确实是球门对球门.	$playername确实是球门对球门.
